Task ID,优先级,工作流,任务,状态,依赖,负责人角色,估算人日,交付物,Definition of Done,风险/外部依赖
P1-04,P1,官方分享,申请并验证小红书分享开放平台,外部申请,P1-02,产品/法务,5,企业/应用审核材料与可用 appKey,官方审核通过；书面确认允许的媒体类型和交互边界,高：平台审批
P1-05,P1,官方分享,实现 Share SDK 桥接 Adapter,等待外部权限,P1-04,客户端/后端,5,xiaohongshu-handoff Adapter,只唤起官方发布页；最终发布由用户确认；失败可回到导出流程,高：SDK 平台覆盖
P1-06,P1,数据导入,定义专业号/蒲公英/聚光报表导入契约,已完成,P0-06,数据/产品,2,字段字典、来源类型、版本和时间口径,每列有来源和口径；商业报表不外推为普通账号全量数据,中：报表版本
P1-07,P1,数据导入,实现 CSV/XLSX 导入与预览,已完成,P1-06,后端/前端,4,解析器、映射预览、错误报告,不合法行不入库；用户确认映射后导入；原文件校验值可追溯,中
P1-08,P1,数据质量,实现去重、幂等与数据血缘,已完成,P1-07,数据/后端,3,import_batch、source_ref、dedupe_key,重复导入不重复计数；每条指标可追溯到批次和原始行,低
P1-09,P1,洞察,将导入数据接入报告与趋势 UI,已完成,P1-08,前端/数据,3,平台指标卡、周期对比、数据完整性提示,缺失/延迟数据明确展示；不生成虚假 ROI,中
P1-10,P1,验收,小红书交接与导入端到端测试,已完成,"P1-03,P1-07,P1-08",QA,3,fixture、E2E、用户验收脚本,交接无自动发布；三类报表导入、重复导入和错误文件均覆盖,低
P2-01,P2,公众号直连,定义 wechat-direct 凭据与账号能力模型,已完成,"P0-04,P0-06",架构/安全,2,wechat-direct 凭据/档案模型、能力协商矩阵、只读能力查询,Secret 仅在主进程加密 Store；能力由账号类型、认证状态、白名单与平台权限集共同协商,中：AppSecret 属 client secret，禁止经渲染进程输入，录入 UX 须用主进程安全通道
P2-02,P2,公众号直连,实现 stable token 获取与刷新,已完成,P2-01,后端,3,stable token 客户端、单飞缓存、errcode 映射、连接与权限观察入口,并发刷新合并为一次出网；Token/AppSecret 不落日志与错误信息；IP 白名单错误可诊断；接口权限只能由真实调用观察,中：出口 IP 待真机验证；微信不返回权限清单
P2-03,P2,素材,实现图片与永久/临时素材上传,已完成,P2-02,后端,4,素材预检、SHA-256 复用缓存、临时/永久/内联上传、media_id 血缘,魔数识别格式不信任扩展名；重复内容直接复用不出网；media_id 与失败尝试均可追溯；不保存本地绝对路径,中：平台限制为本地快照，需真机核对
P2-04,P2,草稿,实现草稿新增、更新、查询和删除,已完成,P2-03,后端,4,草稿增改查删、本地↔media_id 映射、平台更新比对,更新前比对平台更新时间，他人修改时阻止并可强制覆盖或以平台为准；删除失败标记可重试，平台已不存在则幂等恢复,中：平台限制为本地快照，需真机核对
P2-05,P2,发布,实现 freepublish 异步发布状态机,已完成,P2-04,后端,5,提交/查询状态机、publish_id 持久化、状态映射、提交对账、发布执行器,提交只代表受理，必须经 publishing 并由查询决定结果；未映射状态码一律 unknown；同草稿重复与并发提交只出网一次；提交结果未知时必须先对账,高：审核结果为平台异步结果，需真机验证
P2-06,P2,审批,将真实发布接入受控动作审批,已完成,P2-05,安全/后端,3,执行器注册表、单次执行声明、结果分类、对账与重试边界、回执审计,未批准/已拒绝/已执行都不可执行；并发只有一个取得执行权；缺执行器时保持已批准且不退回模拟；结果未知必须先对账再重试,高：执行器随 P2-05 接入
P2-07,P2,数据,接入用户与图文分析 API,已完成,P2-02,数据/后端,5,用户增长/累计与新旧图文统计同步、窗口校验、覆盖与延迟概览、洞察面板,数据延迟在本地钳制查询终点并如实展示；跨度和单日限制在本地拒绝；新旧接口与增量/累计分表分聚合，不跨口径相加；同一日期重复同步按确定性 id 覆盖,中：延迟与窗口数值为本地快照，需真机核对
P2-08,P2,互动,接入留言只读同步,已完成,"P2-02,P2-04",后端,3,留言拉取、自动分页、确定性 id 去重、权限门控,仅已连接且观察到留言权限的账号启用；48001 撤销权限观察并明确报错；msg_data_id/article_index/user_comment_id 全部可追溯；只读，不实现任何留言写操作,中：账号权限与分页数值为本地快照，需真机核对
P2-09,P2,工作台,实现公众号连接与发布回执 UI,已完成,"P2-01,P2-05",前端,4,连接向导与权限矩阵、发布回执与状态时间线、对账入口,待解决事项集中展示（凭据/认证/白名单/未校验）；权限矩阵逐项给出原因；未映射状态显示结果未知；失败原因与能否重试写在卡片上；AppSecret 不经渲染进程,低：凭据录入需主进程安全通道，尚未实现
P2-10,P2,验收,使用自有认证测试号完成真实验收,需要测试账号,"P2-06,P2-07,P2-08,P2-09",QA/产品,4,真实 Provider 验收记录,草稿、发布、状态、统计和留言只读均由官方回执验证；未具备项标 skip,高：账号与资质
P3-01,P3,开放平台,申请平台型第三方平台及全网发布,外部申请,P0-10,产品/法务,10,申请材料清单、权限集草案、隐私政策要点（.context/notes/wechat-open-platform-application.md）,平台审核通过；权限集和隐私政策与产品描述一致（材料已备齐，等待企业主体/域名/IP 白名单就绪后提交）,高：资质/审核，周期 2-4 周，须尽早启动；全网发布前需补消息转发能力
P3-02,P3,服务端授权,实现 component_verify_ticket 回调,已完成,P3-01,后端/安全,4,消息加解密、签名验证、时间戳与 nonce 双重重放拒绝、AES-GCM 加密 ticket 存储、GET 验证、app.ts 路由挂载,验签失败/解密失败/时间戳过期/nonce 重放一律 401/403；ticket 明文只进加密存储，日志仅含指纹；receiveId 与 AppId 双重归属校验；存储失败返回 500 触发微信重推,高：验收第 3 点（消息转发）未实现，提交全网发布前必须补齐
P3-03,P3,服务端授权,实现 component_access_token 生命周期,已完成,P3-02,后端,3,WechatComponentTokenService：内存快路径 + Postgres AES-256-GCM 加密持久化、过期前 10 分钟刷新、单飞并发合并、失败回退旧 token、指标计数,刷新并发合并、加密持久化、多实例一致；缓存命中不重发请求；失败且旧 token 有效时回退并告警，已过期则向上抛错；日志只含指纹,中
P3-04,P3,商家授权,实现预授权码与管理员扫码授权,待开始,P3-03,后端/前端,5,授权页、回调、授权账号落库,state/nonce 校验；不收集管理员密码；取消授权可恢复,高
P3-05,P3,商家授权,实现 authorizer token 刷新与撤权,待开始,P3-04,后端/安全,4,authorizer_access_token 管理器,按租户隔离；撤权事件立即禁用能力并停止任务,高
P3-06,P3,能力协商,按权限集动态生成 Adapter capability,待开始,P3-05,架构/后端,3,权限集→能力矩阵,未授权权限不显示、不调用；互斥权限有显著提示,中
P3-07,P3,多租户,隔离账号、Token、任务、审计和回调,待开始,P3-05,后端/安全,5,tenant boundary 与访问控制测试,跨租户 ID、Token、回调和报表均不可访问,高
P3-08,P3,迁移,支持 wechat-direct 迁移至开放平台授权,待开始,"P3-04,P2-10",后端/产品,3,迁移向导和数据绑定规则,历史草稿/指标保留；旧 Secret 可安全删除；不可静默换绑,中
P3-09,P3,可靠性,建立回调重放、轮询兜底与补偿队列,待开始,"P3-02,P3-05",后端/DevOps,5,事件 inbox、幂等消费、dead-letter,重复回调不重复执行；丢回调可由轮询恢复；失败可人工重放,高
P3-10,P3,验收,完成第三方平台测试/全网发布验收矩阵,等待外部权限,"P3-01,P3-06,P3-09",QA/产品,5,测试账号矩阵、平台审核证据,不同账号类型/权限集至少各一例；真实能力和 skip 项分开报告,高
P4-01,P4,小红书商业,设计商业 Adapter capability gating,已完成,P1-10,架构/产品,3,商业授权证明契约（scope/白名单/供应商许可）、门控评估与断言入口,无证明/未核验/过期/类型不符一律 disabled 并给出原因；商业 Adapter 构造前必须通过断言，防止先写代码后补授权,高：商务权限，证明登记依赖人工
P4-02,P4,小红书商业,接入蒲公英合作与投后数据,等待商务授权,P4-01,后端/数据,6,合作订单、报价、投后笔记指标同步,仅同步授权品牌/订单；不扩展到任意博主或笔记,高
P4-03,P4,小红书商业,接入聚光广告数据与广告评论,等待白名单,P4-01,后端/数据,6,广告指标、广告评论只读,广告能力与普通笔记能力严格分离；白名单到期自动禁用,高
P4-04,P4,互动,公众号留言回复与客服消息审批流,待开始,"P2-08,P3-06",后端/前端,5,回复草稿、48 小时窗口校验、真实回执,超时/频控/无权限时拒绝；每次发送人工审批且幂等,高
P4-05,P4,私信,评估并接入小红书私信三方能力,等待资质,P4-01,产品/法务/后端,8,资质材料、Adapter、合规审计,满足客户数、等保/ICP等平台条件并书面获批后才上线,极高
P4-06,P4,社交聆听,选择有授权的数据服务商并签订数据范围,外部选型,P0-10,采购/法务/数据,8,供应商评估、DPA、字段/留存边界,供应商能证明小红书数据权利；删除/留存/再处理边界明确,极高
P4-07,P4,社交聆听,实现 LicensedDataProvider Adapter,等待供应商,P4-06,后端/数据,6,提及、热点、来源引用和删除同步,每条数据含许可来源和保留期限；撤权可批量删除,高
P4-08,P4,合规,实现 nm-compliance-guard,已完成,"P1-03,P2-06",产品/法务/Agent,5,四类内置规则（广告法/平台/版权/危机）、扫描与升级人工链路、发布执行器接入,守卫只给修改建议并升级人工，不做任何阻断；免责声明明确不构成法律意见；升级写入审计（含命中词与建议）；版权阻断由 P4-09 provenance 承担,高：内置规则为常见风险信号快照，规则库需产品/法务持续维护
P4-09,P4,AIGC,建立素材来源、授权和 AIGC 标识链,已完成,"P1-02,P4-08",后端/产品,4,素材 provenance 存储、许可状态门控、AIGC 标识检查、发布执行器阻断接入,无来源记录/许可缺失/许可未知/许可过期均阻断外发；AIGC 素材未应用标识时按平台要求阻断；阻断发生在任何平台请求之前（not_started）,高：来源登记依赖人工或生成工具输出
P4-10,P4,自动化,接入 scheduler 生成待审批动作,已完成,"P2-06,P3-09",后端,4,本地调度规则、到期触发生成审批、运行历史、失败策略、自动化面板,自动化只 import requestControlledAction（代码层面无法越权外发）；规则创建与触发都要求执行器可用；同一触发时刻幂等；离线补跑只处理最近一次不做追赶；连续 3 次失败自动停用并写审计,中：调度循环随应用启动
P4-11,P4,运营保障,建立 SLO、告警、成本和配额治理,待开始,"P3-09,P4-07",DevOps/后端,5,连接健康、Token、回调、发布、数据延迟指标,平台级 SLO 可见；异常不会泄露正文/凭据；配额耗尽提前告警,中
P4-12,P4,数据保障,完成备份恢复、审计留存与删除演练,待开始,"P3-07,P4-09",安全/DevOps,4,备份边界、恢复脚本、数据删除流程,恢复演练通过；租户删除覆盖 DB、Secret、附件和索引,高
P4-13,P4,发布,灰度发布与能力回滚,已完成,"P4-08,P4-10,P4-11,P4-12",产品/QA/DevOps,5,能力 kill switch（平台/账号两级）、灰度 allowlist 阶段、恢复机制、回滚手册,默认启用、命中最具体覆盖；关闭即时生效且动作保留原状态可重试；恢复不删除历史审计；回滚手册 docs/new-media-rollback-playbook.md,中：当前为单机语义，P3 服务端落地后需增补服务端开关
